,GO:0007264,GO:0006412,GO:0000209,GO:0007411,GO:0007605,GO:0055085,GO:0007420,GO:0008360,GO:0001666,GO:0007010,GO:0071356,GO:0070588,GO:0071277,GO:0042981,GO:0030036,GO:0051897,GO:0045766,GO:0072659,GO:0034599,GO:0018105,GO:0002181,Age
GSM989852,2.71863868308296,2.7230348929386956,2.721170229063444,2.7218400628857418,2.727014434577712,2.7205531168445365,2.7227484960393773,2.718810462593658,2.720914855290536,2.7208787914783326,2.718651301977058,2.721271854313153,2.7209433778598098,2.7208577820021853,2.7200872807593903,2.7109963883270334,2.721785126859019,2.7192749758440464,2.720875292942411,2.7202643283930503,2.723095909647391,2.5714285714285716
GSM989853,2.7694116188315365,2.7643526026955696,2.768727770162765,2.707654245000243,2.7708315834156747,2.768567697978692,2.767209015956871,2.8525078599562232,2.7686445841841607,2.919524093612326,2.8389526082878467,2.7685982262770366,2.7685148099103776,2.7676430023093657,2.768104977265397,2.7680768536298843,2.769786003838677,2.911091737378471,2.7778957127823336,2.826272696917499,2.7632034153007186,2.6666666666666665
GSM989854,2.723553348461171,2.719236763653461,2.72125739992361,2.7185705935981646,2.7468682677700467,2.7210527994128664,2.7236083593934417,2.7188115152658967,2.7215018012742536,2.720073647118389,2.71836884948671,2.7209239173068465,2.7209878485104992,2.729482288226557,2.7215138573991813,2.7148437802892342,2.723354353440617,2.7200500950302864,2.7205319368904024,2.7207101870206314,2.7193512616474056,1.7142857142857144
GSM989855,2.7078474431199853,2.7032649239873887,2.70759904938398,2.800236642505971,2.732552118138793,2.7071625507878783,2.7109115407814457,2.7074037668978757,2.7084587152854844,2.7052758838722766,2.708111479570954,2.7076367444350455,2.707385455165388,2.7107874597912227,2.7075214854925536,2.666544911627012,2.7096058105287963,2.7108465105504935,2.707935943680984,2.7090784059290947,2.704336251318617,2.4761904761904763
GSM989856,2.708340061312018,2.683278671724202,2.70804489262409,2.50267512589195,2.570101172006604,2.7077019929990347,2.7057076206580915,2.7078380024610063,2.706995574990424,2.7077167745395694,2.707004561075761,2.7075509047307835,2.707466579756194,2.711097091795251,2.707427380695491,2.9144999948348245,2.708328204332875,2.7075980443694285,2.707757629524391,2.707416755169788,2.6819438368339523,2.619047619047619
GSM989857,2.6648439886020516,2.6664638401565592,2.6637345529068726,2.6664565920815813,2.6514843247565136,2.664215917175785,2.6639795914396323,2.667552163197797,2.6636723946375582,2.6851418375513454,2.668925690192559,2.664585152138526,2.664819602426404,2.660610268689982,2.6626939451215197,2.647222803741762,2.6633791948782743,2.6627582833088215,2.664418045858005,2.664480353530226,2.666253762862022,2.8095238095238093
GSM989858,2.7064219805325918,2.6685955242561796,2.7081824217534267,2.6347258630539425,2.6617560374442677,2.7077833102362066,2.7069013348564495,2.7009980891450134,2.70823855649016,2.70006013515476,2.7041729556764627,2.707344135302018,2.708112380538726,2.720824997175245,2.706857635180788,3.059796260646986,2.710829650718486,2.707149658771187,2.707688493982699,2.7088442960857124,2.6670083766263013,2.5238095238095237
GSM989859,2.5980058749724564,2.6381112227686208,2.597116747379282,2.809553173473444,2.5135720702344324,2.602946189111903,2.5990684019523074,2.599640748446208,2.5975935402953803,2.599903442777773,2.5984245393263405,2.53624862442172,2.596905910781711,2.39650857206858,2.6113607900233347,2.6329344324125,2.5998890648726714,2.5972880617429412,2.598183487969868,2.597551943097854,2.5858206184474057,2.9523809523809526
GSM989860,2.718390840096323,2.7176900100667187,2.720934478066992,2.7213600628895245,2.663095702994593,2.7212368243156826,2.7179631716959887,2.721239480600387,2.721912628848968,2.7204721214117042,2.7223058838428282,2.721004478656101,2.7213742074307516,2.723586090091701,2.7218680503443595,2.709875090436227,2.717336761576763,2.7242030991751545,2.720704674556014,2.721530981493099,2.717691106264225,2.5714285714285716
GSM989861,2.600748737502689,1.056453571407788,2.598141803871267,3.0140085137702766,2.5190902092263667,2.608204938026516,2.5970746277310037,2.598219830201122,2.5956564133237006,2.597441337140416,2.5986389341360137,2.403404515305944,2.598497850318831,2.230699803850614,2.5892307602411373,2.935225707456911,2.5960947452452063,2.5966505187476137,2.597500417317218,2.596463464570741,0.9837942277188811,2.8095238095238093
